               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023929,           0.0051548,                   0,             0.89627,             0.83505,             0.87789,             0.33798,            0.054297,           0.0044138,                   0,           0.0026436,           0.0026436,           0.0026436
                  38,            0.022812,           0.0050596,                   0,             0.89693,              0.8074,             0.84825,             0.36604,            0.048362,           0.0044155,                   0,           0.0026337,           0.0026337,           0.0026337
                  39,            0.022351,           0.0050021,                   0,             0.92133,             0.84516,             0.86671,             0.35637,            0.052048,           0.0042687,                   0,           0.0026238,           0.0026238,           0.0026238
                  40,            0.022899,           0.0049209,                   0,             0.88764,             0.81439,              0.8402,              0.3363,            0.048071,           0.0042629,                   0,           0.0026139,           0.0026139,           0.0026139
                  41,            0.022699,            0.004785,                   0,             0.89571,             0.87629,             0.90441,             0.35117,            0.049664,           0.0041786,                   0,            0.002604,            0.002604,            0.002604
                  42,            0.023215,           0.0047422,                   0,             0.82852,             0.89691,             0.90057,             0.32899,            0.053342,           0.0041313,                   0,           0.0025941,           0.0025941,           0.0025941
                  43,            0.023027,            0.004677,                   0,             0.92252,              0.8593,             0.91064,             0.35072,            0.052009,           0.0040704,                   0,           0.0025842,           0.0025842,           0.0025842
                  44,            0.021842,           0.0046487,                   0,             0.93641,             0.86598,             0.90667,              0.3646,            0.051193,           0.0041165,                   0,           0.0025743,           0.0025743,           0.0025743
                  45,             0.02147,           0.0046286,                   0,             0.93347,             0.86791,             0.87699,             0.34086,            0.047939,           0.0041029,                   0,           0.0025644,           0.0025644,           0.0025644
                  46,            0.021168,           0.0045784,                   0,             0.92284,             0.86316,             0.86205,             0.34067,            0.047702,           0.0041411,                   0,           0.0025545,           0.0025545,           0.0025545
                  47,            0.020847,           0.0045765,                   0,             0.90723,             0.86598,             0.86035,             0.35721,            0.051074,           0.0040818,                   0,           0.0025446,           0.0025446,           0.0025446
                  48,            0.021162,            0.004499,                   0,             0.91497,             0.84536,              0.8565,             0.35832,            0.047341,           0.0041101,                   0,           0.0025347,           0.0025347,           0.0025347
                  49,            0.019815,           0.0044697,                   0,             0.90682,             0.83505,             0.84115,             0.32476,            0.049427,           0.0040345,                   0,           0.0025248,           0.0025248,           0.0025248
                  50,            0.021059,           0.0044186,                   0,             0.90995,             0.87629,              0.8671,             0.37143,            0.047896,           0.0040235,                   0,           0.0025149,           0.0025149,           0.0025149
                  51,            0.021178,           0.0043977,                   0,             0.92211,             0.85429,             0.87545,             0.37158,            0.046948,           0.0040485,                   0,            0.002505,            0.002505,            0.002505
                  52,            0.019919,           0.0044499,                   0,             0.92177,             0.85039,             0.89948,             0.37278,              0.0477,           0.0040295,                   0,           0.0024951,           0.0024951,           0.0024951
                  53,            0.019076,           0.0043997,                   0,             0.92173,             0.84989,             0.89099,             0.37467,            0.046602,           0.0040112,                   0,           0.0024852,           0.0024852,           0.0024852
                  54,            0.019577,           0.0043324,                   0,             0.88434,             0.86707,             0.85048,              0.3326,            0.048706,           0.0039783,                   0,           0.0024753,           0.0024753,           0.0024753
                  55,            0.018469,           0.0043318,                   0,             0.89824,             0.86598,             0.85067,             0.35654,            0.048645,           0.0039666,                   0,           0.0024654,           0.0024654,           0.0024654
                  56,            0.018454,           0.0043084,                   0,             0.89367,             0.85567,             0.85824,             0.36928,            0.049528,           0.0039106,                   0,           0.0024555,           0.0024555,           0.0024555
                  57,            0.017803,           0.0042232,                   0,             0.92765,              0.8866,             0.89607,             0.36122,            0.049338,           0.0038869,                   0,           0.0024456,           0.0024456,           0.0024456
                  58,            0.018293,           0.0041713,                   0,             0.92398,             0.87707,             0.89402,             0.36359,            0.049417,           0.0038828,                   0,           0.0024357,           0.0024357,           0.0024357
                  59,            0.018714,           0.0041361,                   0,             0.90555,             0.88963,              0.8918,             0.35851,            0.049252,           0.0038928,                   0,           0.0024258,           0.0024258,           0.0024258
                  60,            0.020272,           0.0040921,                   0,             0.91376,             0.87384,              0.8991,             0.39655,             0.05066,           0.0038364,                   0,           0.0024159,           0.0024159,           0.0024159
                  61,            0.018624,           0.0040876,                   0,             0.91128,             0.84715,             0.87745,              0.3813,            0.050144,           0.0038871,                   0,            0.002406,            0.002406,            0.002406
                  62,            0.018417,           0.0040557,                   0,             0.92457,              0.8866,             0.88174,             0.38241,            0.049719,            0.003845,                   0,           0.0023961,           0.0023961,           0.0023961
                  63,            0.017065,           0.0040401,                   0,              0.9358,             0.90163,             0.90648,             0.39918,            0.048319,           0.0038627,                   0,           0.0023862,           0.0023862,           0.0023862
                  64,            0.017891,           0.0040097,                   0,              0.9433,              0.8866,             0.89303,              0.3796,            0.050052,           0.0038293,                   0,           0.0023763,           0.0023763,           0.0023763
                  65,            0.017229,           0.0040203,                   0,             0.94038,              0.8866,             0.90288,             0.35506,            0.048111,           0.0038683,                   0,           0.0023664,           0.0023664,           0.0023664
                  66,             0.01847,            0.004012,                   0,              0.9339,             0.87391,             0.87428,             0.38462,            0.047498,           0.0038345,                   0,           0.0023565,           0.0023565,           0.0023565
                  67,            0.016992,            0.003991,                   0,             0.91226,             0.85754,             0.87356,             0.39509,            0.045573,            0.003847,                   0,           0.0023466,           0.0023466,           0.0023466
                  68,            0.017118,            0.003931,                   0,             0.92481,             0.86598,             0.88299,             0.38391,            0.045944,           0.0038327,                   0,           0.0023367,           0.0023367,           0.0023367
                  69,            0.016124,           0.0039433,                   0,             0.91471,             0.85567,             0.86704,             0.38002,            0.049962,           0.0037725,                   0,           0.0023268,           0.0023268,           0.0023268
                  70,              0.0173,           0.0038832,                   0,             0.91425,             0.89691,             0.89616,             0.39101,            0.048264,           0.0037374,                   0,           0.0023169,           0.0023169,           0.0023169
                  71,            0.016752,           0.0038706,                   0,             0.91655,              0.8866,             0.91464,             0.41356,            0.051468,           0.0037376,                   0,            0.002307,            0.002307,            0.002307
                  72,            0.016834,           0.0038547,                   0,             0.91603,              0.8866,             0.89329,             0.40566,            0.047061,           0.0038058,                   0,           0.0022971,           0.0022971,           0.0022971
                  73,            0.016616,           0.0038854,                   0,             0.91459,             0.88322,             0.91273,             0.41434,            0.046905,           0.0037916,                   0,           0.0022872,           0.0022872,           0.0022872
                  74,            0.016094,            0.003861,                   0,             0.90179,             0.89691,             0.89522,              0.4021,            0.048541,           0.0037957,                   0,           0.0022773,           0.0022773,           0.0022773
                  75,            0.016038,           0.0039025,                   0,             0.90615,             0.89589,             0.87981,             0.38342,            0.049266,           0.0037981,                   0,           0.0022674,           0.0022674,           0.0022674
                  76,            0.016691,           0.0038478,                   0,             0.91874,             0.89691,             0.89244,             0.39581,            0.047332,           0.0038009,                   0,           0.0022575,           0.0022575,           0.0022575
                  77,            0.014766,           0.0038165,                   0,             0.94556,             0.89538,             0.88946,             0.38802,            0.049814,             0.00374,                   0,           0.0022476,           0.0022476,           0.0022476
                  78,            0.017162,           0.0037633,                   0,             0.92929,              0.8866,             0.88611,             0.38891,            0.048746,           0.0037388,                   0,           0.0022377,           0.0022377,           0.0022377
                  79,            0.015966,           0.0037448,                   0,             0.92056,              0.8866,              0.8773,             0.39626,            0.046258,           0.0037404,                   0,           0.0022278,           0.0022278,           0.0022278
                  80,            0.016141,           0.0037814,                   0,             0.91513,             0.88933,             0.87991,             0.39845,            0.045484,           0.0037231,                   0,           0.0022179,           0.0022179,           0.0022179
                  81,            0.016071,           0.0037471,                   0,             0.93566,             0.89956,             0.89762,             0.41256,            0.049072,           0.0036991,                   0,            0.002208,            0.002208,            0.002208
                  82,            0.016538,           0.0037129,                   0,             0.91053,             0.87629,             0.87989,             0.39988,            0.048782,           0.0036902,                   0,           0.0021981,           0.0021981,           0.0021981
                  83,            0.015049,            0.003714,                   0,             0.93228,             0.87629,             0.87998,             0.38722,            0.047512,           0.0036999,                   0,           0.0021882,           0.0021882,           0.0021882
                  84,            0.015751,           0.0036812,                   0,             0.92466,             0.88571,             0.88517,             0.37564,            0.047038,           0.0036952,                   0,           0.0021783,           0.0021783,           0.0021783
                  85,            0.016056,           0.0036799,                   0,             0.93217,             0.90722,             0.90929,             0.40595,            0.046322,           0.0037111,                   0,           0.0021684,           0.0021684,           0.0021684
                  86,            0.015468,           0.0036954,                   0,             0.92582,              0.9007,             0.89142,             0.40385,            0.048144,           0.0036992,                   0,           0.0021585,           0.0021585,           0.0021585
                  87,            0.015416,           0.0036058,                   0,             0.94936,             0.91753,             0.91242,             0.40969,            0.046108,           0.0036928,                   0,           0.0021486,           0.0021486,           0.0021486
                  88,            0.014532,           0.0036134,                   0,             0.94531,             0.91753,             0.90172,             0.39364,             0.04566,           0.0036822,                   0,           0.0021387,           0.0021387,           0.0021387
