               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.021169,           0.0052001,                   0,             0.87342,             0.80412,              0.8334,             0.32431,            0.048274,           0.0044315,                   0,           0.0019308,           0.0019308,           0.0019308
                  38,             0.02175,           0.0050951,                   0,              0.8952,             0.80412,             0.83704,             0.34081,             0.05072,           0.0043201,                   0,           0.0019011,           0.0019011,           0.0019011
                  39,            0.021422,           0.0050878,                   0,             0.88639,             0.84536,             0.84541,             0.31579,            0.052382,           0.0042178,                   0,           0.0018714,           0.0018714,           0.0018714
                  40,            0.022732,           0.0049607,                   0,             0.85099,              0.8866,             0.84926,             0.34109,            0.049468,           0.0042673,                   0,           0.0018417,           0.0018417,           0.0018417
                  41,            0.021057,           0.0049301,                   0,             0.87917,             0.83505,             0.85787,             0.31415,             0.05329,           0.0041655,                   0,            0.001812,            0.001812,            0.001812
                  42,            0.021261,           0.0048565,                   0,             0.88474,             0.87629,              0.8757,              0.3296,            0.048717,           0.0042188,                   0,           0.0017823,           0.0017823,           0.0017823
                  43,            0.021505,           0.0047416,                   0,             0.88552,             0.87715,             0.88831,             0.35473,            0.049925,           0.0041255,                   0,           0.0017526,           0.0017526,           0.0017526
                  44,            0.020394,           0.0047281,                   0,             0.88237,             0.85567,             0.84315,             0.34771,            0.049144,           0.0041299,                   0,           0.0017229,           0.0017229,           0.0017229
                  45,            0.019958,           0.0047037,                   0,             0.89203,             0.85174,              0.8564,             0.34783,            0.049351,           0.0041473,                   0,           0.0016932,           0.0016932,           0.0016932
                  46,            0.020117,           0.0046762,                   0,              0.9132,             0.86768,             0.88481,             0.35321,            0.046919,           0.0041311,                   0,           0.0016635,           0.0016635,           0.0016635
                  47,            0.019101,           0.0046996,                   0,              0.8945,             0.85567,             0.85455,             0.34975,            0.045637,           0.0040805,                   0,           0.0016338,           0.0016338,           0.0016338
                  48,            0.018977,            0.004611,                   0,             0.89899,             0.87629,             0.86738,              0.3587,            0.047135,           0.0040583,                   0,           0.0016041,           0.0016041,           0.0016041
                  49,            0.018521,           0.0045904,                   0,             0.86409,             0.85212,             0.83587,              0.3301,            0.051946,           0.0039937,                   0,           0.0015744,           0.0015744,           0.0015744
                  50,            0.018024,           0.0045777,                   0,              0.8875,             0.85567,             0.84622,             0.35388,            0.047487,           0.0039945,                   0,           0.0015447,           0.0015447,           0.0015447
                  51,            0.017513,           0.0045863,                   0,             0.86497,              0.8585,             0.85294,              0.3399,            0.049806,           0.0039635,                   0,            0.001515,            0.001515,            0.001515
                  52,            0.019085,           0.0045456,                   0,             0.88235,             0.87629,              0.8606,             0.36643,            0.048534,           0.0039845,                   0,           0.0014853,           0.0014853,           0.0014853
                  53,            0.017602,           0.0044227,                   0,             0.87409,             0.85889,             0.85486,              0.3599,            0.047308,           0.0039663,                   0,           0.0014556,           0.0014556,           0.0014556
                  54,            0.017703,           0.0044273,                   0,             0.91753,             0.82474,              0.8682,             0.34943,            0.046854,           0.0039704,                   0,           0.0014259,           0.0014259,           0.0014259
                  55,             0.01687,           0.0044672,                   0,             0.93559,             0.83505,             0.87679,              0.3517,            0.049077,           0.0039508,                   0,           0.0013962,           0.0013962,           0.0013962
                  56,            0.017561,           0.0044374,                   0,             0.88415,             0.85567,             0.87691,             0.36921,            0.047537,            0.003931,                   0,           0.0013665,           0.0013665,           0.0013665
                  57,            0.016546,           0.0043915,                   0,             0.89433,              0.8866,             0.88617,             0.36507,            0.047171,           0.0039346,                   0,           0.0013368,           0.0013368,           0.0013368
                  58,            0.016091,           0.0043865,                   0,             0.88226,             0.84977,             0.88598,             0.36618,            0.046426,           0.0039492,                   0,           0.0013071,           0.0013071,           0.0013071
                  59,            0.016504,           0.0043221,                   0,               0.923,             0.86503,             0.88891,             0.37044,            0.045574,           0.0039431,                   0,           0.0012774,           0.0012774,           0.0012774
                  60,            0.016433,           0.0043491,                   0,             0.91244,             0.85948,             0.87007,             0.37014,            0.046522,           0.0039197,                   0,           0.0012477,           0.0012477,           0.0012477
                  61,              0.0156,           0.0043653,                   0,             0.91441,             0.88114,             0.89015,             0.37433,             0.04633,            0.003921,                   0,            0.001218,            0.001218,            0.001218
                  62,            0.015123,           0.0042881,                   0,             0.92005,             0.87629,             0.89017,             0.38057,            0.046558,           0.0038731,                   0,           0.0011883,           0.0011883,           0.0011883
                  63,            0.014743,            0.004285,                   0,             0.91283,             0.86365,             0.87517,             0.37403,            0.046873,           0.0039073,                   0,           0.0011586,           0.0011586,           0.0011586
                  64,            0.015981,           0.0042756,                   0,             0.91272,             0.85567,             0.87224,               0.381,            0.047739,           0.0038768,                   0,           0.0011289,           0.0011289,           0.0011289
